review_time_s,available_time_s,available_time_h,success,reviewed_assets,accepted_assets
10,111908,31,0.01,11190,111
10,137196,38,0.01,13719,137
10,31409,8,0.01,3140,31
10,23807,6,0.01,2380,23
10,92653,25,0.01,9265,92
10,54784,15,0.01,5478,54
10,120786,33,0.01,12078,120
10,10349,2,0.01,1034,10
10,24163,6,0.01,2416,24
10,84060,23,0.01,8406,84
10,520807,144,0.01,52080,520
10,83308,23,0.01,8330,83
10,86154,23,0.01,8615,86
10,34418,9,0.01,3441,34
10,98792,27,0.01,9879,98
10,106612,29,0.01,10661,106
10,343350,95,0.01,34335,343
10,546994,151,0.01,54699,546
10,661440,183,0.01,66144,661
10,143479,39,0.01,14347,143
10,119682,33,0.01,11968,119
10,113022,31,0.01,11302,113
10,17507,4,0.01,1750,17
10,99917,27,0.01,9991,99
10,33234,9,0.01,3323,33
10,25236,7,0.01,2523,25
10,239570,66,0.01,23957,239
10,646168,179,0.01,64616,646
10,66692,18,0.01,6669,66
10,141560,39,0.01,14156,141
10,61545,17,0.01,6154,61
10,6934,1,0.01,693,6
10,82537,22,0.01,8253,82
10,96578,26,0.01,9657,96
10,179737,49,0.01,17973,179
10,119515,33,0.01,11951,119
10,156926,43,0.01,15692,156
10,15773,4,0.01,1577,15
10,32717,9,0.01,3271,32
10,129022,35,0.01,12902,129
10,28287,7,0.01,2828,28
10,115759,32,0.01,11575,115
10,20040,5,0.01,2004,20
10,111537,30,0.01,11153,111
10,121053,33,0.01,12105,121
10,35764,9,0.01,3576,35
10,658027,182,0.01,65802,658
10,133168,36,0.01,13316,133
10,30279,8,0.01,3027,30
10,45778,12,0.01,4577,45
10,45177,12,0.01,4517,45
10,412105,114,0.01,41210,412
10,49319,13,0.01,4931,49
10,418790,116,0.01,41879,418
10,20731,5,0.01,2073,20
10,131173,36,0.01,13117,131
10,76179,21,0.01,7617,76
10,31001,8,0.01,3100,31
10,49686,13,0.01,4968,49
10,76753,21,0.01,7675,76
10,65070,18,0.01,6507,65
10,87622,24,0.01,8762,87
10,689883,191,0.01,68988,689
10,49974,13,0.01,4997,49
10,821027,228,0.01,82102,821
10,550565,152,0.01,55056,550
10,6274,1,0.01,627,6
10,600771,166,0.01,60077,600
10,102235,28,0.01,10223,102
10,20840,5,0.01,2084,20
10,95411,26,0.01,9541,95
10,43155,11,0.01,4315,43
10,130857,36,0.01,13085,130
10,77353,21,0.01,7735,77
10,131926,36,0.01,13192,131
10,5793,1,0.01,579,5
10,84252,23,0.01,8425,84
